Transaction,Year,Month,Day,Hour,Minute,Second,Symbol,Price,Shares,Total
BUY,0,0,0,0,0,0.000,XOM,1.22,100,122.00
BUY,0,0,67,0,0,0.000,XOM,1.07,12,12.84
SELL,0,0,561,0,0,0.000,XOM,1.22,14,17.08
SELL,0,0,601,0,0,0.000,XOM,1.38,13,17.94
SELL,0,0,677,0,0,0.000,XOM,1.56,11,17.16
SELL,0,0,851,0,0,0.000,XOM,1.79,10,17.90
SELL,0,0,988,0,0,0.000,XOM,2.05,8,16.40
SELL,0,0,1074,0,0,0.000,XOM,2.32,7,16.24
SELL,0,0,1236,0,0,0.000,XOM,2.64,6,15.84
SELL,0,0,1368,0,0,0.000,XOM,2.99,5,14.95
SELL,0,0,1442,0,0,0.000,XOM,3.48,6,20.88
SELL,0,0,1539,0,0,0.000,XOM,3.95,4,15.80
SELL,0,0,1585,0,0,0.000,XOM,4.49,3,13.47
SELL,0,0,1678,0,0,0.000,XOM,5.16,3,15.48
BUY,0,0,1732,0,0,0.000,XOM,3.58,6,21.48
SELL,0,0,1733,0,0,0.000,XOM,4.22,3,12.66
SELL,0,0,1836,0,0,0.000,XOM,4.82,3,14.46
SELL,0,0,2260,0,0,0.000,XOM,5.53,2,11.06
SELL,0,0,2435,0,0,0.000,XOM,6.36,2,12.72
SELL,0,0,2591,0,0,0.000,XOM,7.29,2,14.58
SELL,0,0,2895,0,0,0.000,XOM,8.63,2,17.26
SELL,0,0,3331,0,0,0.000,XOM,9.71,1,9.71
BUY,0,0,3415,0,0,0.000,XOM,8.42,1,8.42
SELL,0,0,3567,0,0,0.000,XOM,9.50,1,9.50
SELL,0,0,3629,0,0,0.000,XOM,10.68,1,10.68
SELL,0,0,3760,0,0,0.000,XOM,11.97,1,11.97
SELL,0,0,3793,0,0,0.000,XOM,13.35,1,13.35
SELL,0,0,4030,0,0,0.000,XOM,14.97,1,14.97
SELL,0,0,4065,0,0,0.000,XOM,16.87,1,16.87
SELL,0,0,4145,0,0,0.000,XOM,19.34,1,19.34
SELL,0,0,4187,0,0,0.000,XOM,21.52,7,150.64
